0;1;2;3;4;5;6;7;8;9
100010110100001110;101001010101000001;001110100000010111;100000010010000000;100011100001000001;000000000000100001;001000000000000100;101011000100110000;101010000000000000;110000000001000000
011010010010001110;000001000000000010;101000000000010000;000000100000100000;110000001010001000;000000000000100000;100000100000000000;010000000100100000;000000100000010000;101000000000000001
010010011100010010;000000010000010000;000011110000110000;100000100000010000;000000010000000010;100000001000000000;100110000000010001;100110010100100110;000000000100000000;100000000001100100
001000110110100001;100100000000000010;000100010000000000;100000010000001000;001000010000000000;100001000000101001;100001010001100100;110001000100000000;101000001000000100;101000001000000000
101000101100100000;000000000000000101;011010001000101000;000010000010101000;101000010000000000;111100000000000001;110000000000000001;000100000001000000;010000000000100001;000000010001010100
111110001111100111;111000000000110001;000010000000000001;000000100000010000;001010101000000001;100000100010000000;000011001101100000;101000000000001000;100010010001000000;001000000000010000
001111000001111101;010011100111001100;000000110000000010;100000000001100000;100000001000000000;000000000000000010;000010011000000000;100100100001001000;000001100000000000;000000100000001000
000001001000101001;110010010111000010;010001100000100000;010000000010001000;000010001000100100;101101100011000000;000100000000110000;101100001001100010;100000010001000000;100010001001101110
100001000101110010;000000001010000000;000000010000000000;000000100010000000;001010100100100000;100000001000000100;000001000000001000;000010011111110000;000000000000010100;000010000000000001
011010011010110011;100001101111100010;100000000001100000;001010000000000000;011000100001000100;000000010000101101;000001000110100001;010000100111010001;100100000000000010;000000000001000100
101011110001110001;111101110001000000;100000000010000000;010010100010100000;000001001100011101;000100000100000000;010000110000001100;011101010000000001;000000000000000100;001000011000101010
010100010011100111;100100110010100110;000000000110000000;101000000000000010;010000001000000000;100100000100000000;110000000000001000;000010000000100000;110000000100000000;100001000000110110
000000101111110001;010111010111111100;000000000001001000;101000000000000100;101000000000000010;010000000100000110;101010000000010100;100000100000000100;100010000001000000;000000000001010000
010010111100110101;100000101000000000;000010000000001000;000000000010100000;100100000101001101;000010000100000000;000000001100000010;101000111000000000;100000000010000010;000001000000000100
101011001101011111;000000000100000001;000001100000000000;110000000000000001;101000110000000000;000010001000000001;010000000100000000;100000101000000000;000000000000010001;000000000100000001
001110000000100101;100101110101101010;000001000000000100;100000000000001010;110000010000000000;010000000100000000;101001000000000000;100110000000000000;010000001000000000;100000001000000100
000010001000110100;010110100010011010;010100000011100011;100000000000010100;000110000100010000;000101010000000010;100010001100010000;000000100001000000;000100000010010000;000000010000010000
110000101111001111;000100000000000010;100011001000100000;100000000100000100;000100000000001000;001100010000000000;000000001000010000;100000001000001000;000000010000000000;010010000000000000
100000000101100110;110011000111101001;000000000000000011;000001010010001100;010100010101100000;110001000000000000;101000000010000000;100011000010000000;000010000100000000;111000000100001100
000101000110110101;000001001000000000;100100000000100000;110111100001000100;001111110000001011;010010000000101110;000101001110100000;000000000100000000;000100000000000010;100000000000000010
101101101101011001;100010100000000000;111100011111101100;101110010011000101;101101000010000000;001100000000000000;100000000000100100;100000000000101000;100000000000010001;101010000000001101
