0;1;2;3;4;5;6;7;8;9
100010000101010111;010000000000000100;110010000000000000;011110000100000100;100010000000000100;100100000100010000;000000000000000010;010000100010010000;000000000001101000;000001010100001000
000101000110100100;101000000000001000;111100100001010010;101001000000001000;001100010000010010;000001000000100000;100000000010000000;110100000000000000;110100000010000000;101000000000000010
011000000101110010;101001000000000000;101101000000010010;101000000100001000;100000011000000000;101000000110000001;000001000000001000;100000000000100000;101000000100000000;000000001000100000
110101011000010110;000000000110000000;010000000000000100;101100100001000100;001010100000010010;000011010000001000;000001000000001000;000010000000001000;000101010001001100;100000001000000000
111001111010101111;000010000100000000;000000000100000100;100001000000000100;000000000100010000;010000000000011000;110000000000010000;100001000000000000;000010000001000000;000010100110100000
011000100100001100;100001000010000000;100000010000001000;110100000000000000;000000000000000101;010000000000000100;000100000000000100;011000000111000001;100001000001000000;100010000000000010
111001010111010000;001000000100000000;000001000000000010;101010000011100000;000000100001000000;000000000000010100;100100001010000100;001001000000000000;011000100001000000;101000000011000000
111011110111101100;000000010000000010;000000010000000100;100001000000001011;010111000100010000;000001000000000000;000000000000001000;100000000100000010;001101000001010000;101100100000000000
111101010010101111;111000110010000000;000110000000000000;100000000000011000;000000000011000000;101000000000000010;000000100100000000;010000000000100000;001010000000000000;100000000000001000
000000010110100111;100000000000001000;100010000000000001;001010001001011100;000000000010100000;101000000000001000;100100000100000000;100000000000100000;000000000100010000;101110000000100000
010000101111100001;100010010000000000;100110111110110000;010001100000000000;101000100001011100;000001010000001000;000000000100100000;000000000110001100;010000000000100000;000010100000000000
100100110001101111;010111000011101011;100100000010000000;101000001000000000;110000000000000000;100000101010100000;011011100000001000;001010000001110000;000010001000000000;000000000100000100
010111000010000111;000000001000100000;000001000000100000;010000010100000000;000001000000010000;000000000100001000;100000010100101100;000100000000001000;000000000000000011;100000000100000001
000010100111000001;100100000100000000;101000001100000000;010000101101000000;100001001000100100;110010000000000100;000100000000010000;000100000001000000;110011000000000001;000001000000001000
111100000011010000;001000000000000100;100100000110000110;010100000000000000;010000000010000000;111000000101100010;110001000000110000;000000100000100000;000010001001100010;100000000000000100
000010011010001000;000000000100010000;100110000000010111;000011100000000000;000001010000000000;000010010000000000;011000000001001000;010000000000001000;001000000000100000;000000000100010000
000010000110001011;000010010000000000;000100000010000000;100001000000000000;000001000000000100;000001000000000000;100000100000010000;100000000010010000;010000110000001100;100000000000101000
011110000001101000;000010000100000000;000000000000000011;100000001000100001;010000000000000100;000110000001001111;000000111101001000;110000000000100000;100010000000000000;000000000100000010
111110000110010111;000001110001001000;000010000001000000;000000000001100000;010001000000101100;001000000100000000;100001100010110001;000000000000011100;000000100000000000;000001000000000001
